taxonomy	Av_abun	Log_av_abun	No_Samp	Total_Samp	Perc_occu	sum_DU1	sum_WF	sum_RI	IN_DU1	IN_WF	IN_RI	No_Sites	Site	Gills_Sum	Stomach_Sum	Gills_PA	Stomach_PA	Habitat_sum	Habitat	OTU_Name	Of_interest
k__Bacteria: p__Proteobacteria: c__Deltaproteobacteria: o__Desulfuromonadales: f__Desulfuromonadaceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo711895	No
k__Bacteria: p__Cyanobacteria: c__Chloroplast: o__Stramenopiles: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo712168	No
k__Bacteria: p__Proteobacteria: c__Deltaproteobacteria: o__Desulfobacterales: f__Desulfobacteraceae: g__Desulfococcus: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo713083	No
k__Bacteria: p__Verrucomicrobia: c__Verruco.5: o__WCHB1.41: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo713485	No
k__Bacteria: p__Firmicutes: c__Clostridia: o__Clostridiales: f__Lachnospiraceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo713812	No
k__Bacteria: p__Verrucomicrobia: c__Verrucomicrobiae: o__Verrucomicrobiales: f__Verrucomicrobiaceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo714320	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Vibrionales: f__Vibrionaceae: g__Vibrio: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo715085	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Chromatiales: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo716285	No
k__Bacteria: p__Bacteroidetes: c__Flavobacteriia: o__Flavobacteriales: f__Flavobacteriaceae: g__Polaribacter: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo716486	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Oceanospirillales: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo717001	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Oceanospirillales: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo718623	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__Mycoplasmatales: f__Mycoplasmataceae: g__Mycoplasma: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo719873	No
k__Bacteria: p__Proteobacteria: c__Deltaproteobacteria: o__Desulfobacterales: f__Desulfobulbaceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo720478	No
k__Bacteria: p__Proteobacteria: c__Epsilonproteobacteria: o__Campylobacterales: f__Helicobacteraceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo720630	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Oceanospirillales	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo721371	No
k__Bacteria: p__Proteobacteria: c__Deltaproteobacteria: o__Desulfobacterales: f__Desulfobulbaceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo721688	No
k__Bacteria: p__Actinobacteria: c__Actinobacteria: o__Actinomycetales: f__Actinomycetaceae: g__Actinomyces: s__	0.03125	-1.505149978	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo723045	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Chromatiales: f__Chromatiaceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo723800	No
k__Bacteria: p__Lentisphaerae: c__[Lentisphaeria]: o__Victivallales: f__Victivallaceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo723956	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo724293	No
k__Bacteria: p__Cyanobacteria: c__Synechococcophycideae: o__Pseudanabaenales: f__Pseudanabaenaceae	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo724395	No
k__Bacteria: p__GN02: c__BD1.5: o__: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo724584	No
k__Bacteria: p__Cyanobacteria: c__Chloroplast: o__Stramenopiles: f__: g__: s__	0.046875	-1.329058719	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo724820	No
k__Bacteria: p__Proteobacteria: c__Deltaproteobacteria: o__Myxococcales: f__OM27: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo725675	No
k__Bacteria: p__Bacteroidetes: c__Flavobacteriia: o__Flavobacteriales: f__Flavobacteriaceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo725676	No
k__Bacteria: p__Bacteroidetes: c__Bacteroidia: o__Bacteroidales: f__: g__: s__	0.03125	-1.505149978	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo726574	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__Mycoplasmatales: f__Mycoplasmataceae: g__Mycoplasma: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo726629	No
k__Bacteria: p__Proteobacteria: c__Deltaproteobacteria: o__Bdellovibrionales: f__Bacteriovoracaceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo726642	No
k__Bacteria: p__Proteobacteria: c__Deltaproteobacteria: o__Desulfobacterales: f__Desulfobacteraceae: g__Desulfosarcina: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo726855	No
k__Bacteria: p__Proteobacteria: c__Epsilonproteobacteria: o__Campylobacterales: f__Helicobacteraceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo728359	No
k__Bacteria: p__Cyanobacteria: c__Chloroplast: o__Stramenopiles: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo728858	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Alteromonadales: f__OM60: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo729077	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__Mycoplasmatales: f__Mycoplasmataceae: g__Mycoplasma: s__	0.03125	-1.505149978	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo729304	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Legionellales	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo730054	No
k__Bacteria: p__Proteobacteria: c__Deltaproteobacteria: o__Desulfobacterales: f__Desulfobulbaceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo730409	No
k__Bacteria: p__Bacteroidetes: c__Bacteroidia: o__Bacteroidales: f__VC21_Bac22: g__: s__	0.03125	-1.505149978	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo732956	No
k__Bacteria: p__Lentisphaerae: c__[Lentisphaeria]: o__Z20: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo733410	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Chromatiales: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo733819	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Methylococcales: f__Methylococcaceae: g__Methylomonas: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo735556	No
k__Bacteria: p__Planctomycetes: c__Planctomycetia: o__Pirellulales: f__Pirellulaceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo735904	No
k__Bacteria: p__Bacteroidetes: c__Bacteroidia: o__Bacteroidales: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo735940	No
k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rhizobiales: f__Hyphomicrobiaceae: g__Hyphomicrobium: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo736673	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__Mycoplasmatales: f__Mycoplasmataceae: g__Mycoplasma: s__	0.046875	-1.329058719	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo737077	No
k__Bacteria: p__Bacteroidetes: c__[Saprospirae]: o__[Saprospirales]: f__Saprospiraceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo738210	No
k__Bacteria: p__TM6: c__SJA.4: o__: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo738462	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__[Marinicellales]: f__[Marinicellaceae]: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo740333	No
k__Bacteria: p__Proteobacteria: c__Deltaproteobacteria: o__Desulfarculales: f__Desulfarculaceae: g__: s__	0.046875	-1.329058719	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo740962	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__Mycoplasmatales: f__Mycoplasmataceae: g__Mycoplasma: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo741458	No
k__Bacteria: p__Proteobacteria: c__Deltaproteobacteria: o__Desulfobacterales: f__Desulfobulbaceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo742359	No
k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rhodobacterales: f__Rhodobacteraceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo742701	No
k__Bacteria: p__Cyanobacteria: c__Oscillatoriophycideae: o__Oscillatoriales: f__Phormidiaceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo743068	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__Mycoplasmatales: f__Mycoplasmataceae: g__Mycoplasma: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo743536	No
k__Bacteria: p__Actinobacteria: c__Actinobacteria: o__Actinomycetales: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo743680	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Chromatiales	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo744069	No
k__Bacteria: p__Verrucomicrobia: c__Verrucomicrobiae: o__Verrucomicrobiales: f__Verrucomicrobiaceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo744360	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__Mycoplasmatales: f__Mycoplasmataceae: g__Mycoplasma: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo745571	No
k__Bacteria: p__Proteobacteria: c__Deltaproteobacteria: o__Desulfobacterales: f__Desulfobulbaceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo746994	No
k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rhodobacterales: f__Rhodobacteraceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo748101	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Oceanospirillales: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo748114	No
k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rhodobacterales: f__Rhodobacteraceae: g__Octadecabacter: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo748472	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Thiotrichales: f__Thiotrichaceae: g__Cocleimonas: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo749186	No
k__Bacteria: p__Firmicutes: c__Clostridia: o__Clostridiales: f__Christensenellaceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo751037	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo751230	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__Mycoplasmatales: f__Mycoplasmataceae: g__Mycoplasma: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo751406	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Alteromonadales: f__Psychromonadaceae: g__Psychromonas: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo751520	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Oceanospirillales: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo751599	No
k__Bacteria: p__Cyanobacteria: c__Synechococcophycideae: o__Synechococcales: f__Synechococcaceae: g__Synechococcus: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo753319	No
k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rhodobacterales: f__Rhodobacteraceae: g__Loktanella: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo754319	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Enterobacteriales: f__Enterobacteriaceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo754855	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo755443	No
k__Bacteria: p__Proteobacteria: c__Deltaproteobacteria: o__Desulfobacterales: f__Desulfobacteraceae: g__Desulfococcus: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo756067	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Alteromonadales: f__Alteromonadaceae	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo756246	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo756770	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Legionellales: f__: g__: s__	0.03125	-1.505149978	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo757099	No
k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rhodobacterales: f__Rhodobacteraceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo757283	No
k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rhodobacterales: f__Rhodobacteraceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo758022	No
k__Bacteria: p__Verrucomicrobia: c__Verrucomicrobiae: o__Verrucomicrobiales: f__Verrucomicrobiaceae: g__Persicirhabdus: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo759498	No
k__Bacteria: p__Cyanobacteria: c__Chloroplast: o__: f__: g__: s__	0.03125	-1.505149978	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo761164	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Oceanospirillales: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo761858	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Pseudomonadales: f__Moraxellaceae: g__Psychrobacter	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo762591	No
k__Bacteria: p__Cyanobacteria: c__Chloroplast: o__Stramenopiles: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo762657	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Alteromonadales: f__OM60: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo763834	No
k__Bacteria: p__Proteobacteria: c__Deltaproteobacteria: o__Desulfobacterales: f__Desulfobulbaceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo763858	No
k__Bacteria: p__Bacteroidetes: c__Bacteroidia: o__Bacteroidales: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo765385	No
k__Bacteria: p__Planctomycetes: c__Phycisphaerae: o__CCM11a: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo766239	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Alteromonadales: f__OM60: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo766347	No
k__Bacteria: p__Chloroflexi: c__Ellin6529: o__: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo766385	No
k__Bacteria: p__Actinobacteria: c__Actinobacteria: o__Actinomycetales: f__Micromonosporaceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo767626	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Oceanospirillales: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo768893	No
k__Bacteria: p__Proteobacteria: c__Deltaproteobacteria: o__Desulfobacterales: f__Desulfobacteraceae: g__Desulfosarcina: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo769428	No
k__Bacteria: p__Proteobacteria: c__Deltaproteobacteria: o__Desulfobacterales: f__Desulfobulbaceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo771001	No
k__Bacteria: p__Spirochaetes: c__[Brachyspirae]: o__[Brachyspirales]: f__Brachyspiraceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo771246	No
k__Bacteria: p__Cyanobacteria: c__Chloroplast: o__Cryptophyta: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo771529	No
k__Bacteria: p__Cyanobacteria: c__Chloroplast: o__Stramenopiles: f__: g__: s__	0.046875	-1.329058719	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo771583	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Oceanospirillales: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo771985	No
k__Bacteria: p__Bacteroidetes: c__[Saprospirae]: o__[Saprospirales]: f__Saprospiraceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo772660	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Oceanospirillales: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo772924	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Oceanospirillales: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo773266	No
k__Bacteria: p__Cyanobacteria: c__Chloroplast: o__Cryptophyta: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo774575	No
k__Bacteria: p__Spirochaetes: c__[Leptospirae]: o__[Leptospirales]: f__Sediment.4: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo774657	No
k__Bacteria: p__Proteobacteria: c__Deltaproteobacteria: o__: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo774866	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Alteromonadales: f__OM60: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo775146	No
k__Bacteria: p__Cyanobacteria: c__Synechococcophycideae: o__Synechococcales: f__Synechococcaceae: g__Synechococcus: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo777357	No
k__Bacteria: p__Cyanobacteria: c__Chloroplast: o__Cryptophyta: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo777456	No
k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rhodobacterales: f__Rhodobacteraceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo777733	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Chromatiales: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo778204	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Alteromonadales: f__OM60: g__: s__	0.0625	-1.204119983	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo778276	No
k__Bacteria: p__Bacteroidetes: c__Cytophagia: o__Cytophagales: f__Flammeovirgaceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo778393	No
k__Bacteria: p__Cyanobacteria: c__Chloroplast: o__Stramenopiles: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo778427	No
k__Bacteria: p__Planctomycetes: c__OM190: o__agg27: f__: g__: s__	0.03125	-1.505149978	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo778828	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Alteromonadales: f__OM60: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo779357	No
k__Bacteria: p__Proteobacteria: c__Zetaproteobacteria: o__Mariprofundales: f__Mariprofundaceae: g__Mariprofundus: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo779643	No
k__Bacteria: p__Spirochaetes: c__[Brachyspirae]: o__[Brachyspirales]: f__Brachyspiraceae: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo779997	No
k__Bacteria: p__OP8: c__OP8_2: o__: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo780740	No
k__Bacteria: p__Bacteroidetes: c__Flavobacteriia: o__Flavobacteriales: f__Flavobacteriaceae: g__Psychroserpens: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo781252	No
k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rhodobacterales: f__Rhodobacteraceae	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo781705	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Alteromonadales: f__OM60: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo782446	No
k__Bacteria: p__Bacteroidetes: c__Flavobacteriia: o__Flavobacteriales: f__[Weeksellaceae]: g__Cloacibacterium: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo782858	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Oceanospirillales: f__: g__: s__	0.015625	-1.806179974	1	64	0.015625	0	0	1	0	0	1	1	RI	0	1	0	1	1	Stomach	denovo782859	No
